,K,d,r,s,D_K,A,B,j,j_deg,gmm,cm
196,x^4 - x^3 - 11*x^2 + 9*x + 39,4,0,2,5517,448/3*theta_K^3 + 560/3*theta_K^2 - 3584/3*theta_K - 5824/3,9856/3*theta_K^3 + 17920/3*theta_K^2 - 21504*theta_K - 1113856/27,x^2 + 24010*x + 258474853,2,True,False
197,x^4 - x^3 - 11*x^2 + 9*x + 39,4,0,2,5517,108752/3*theta_K^3 - 349184/3*theta_K^2 - 425392/3*theta_K + 1921712/3,1949696*theta_K^3 - 18569600/3*theta_K^2 - 23959040/3*theta_K + 943422464/27,x^4 - 4618021428001*x^3 + 21213082700809296428036394*x^2 + 803917453641370776079665748064*x + 29691804768985587233880108100046089,4,True,False
198,x^4 - x^3 - 11*x^2 + 9*x + 39,4,0,2,5517,-1392*theta_K^3 - 784/3*theta_K^2 + 39632/3*theta_K + 45152/3,58240*theta_K^3 + 498176/3*theta_K^2 - 136192/3*theta_K - 7565056/27,x^4 - 4618021428001*x^3 + 21213082700809296428036394*x^2 + 803917453641370776079665748064*x + 29691804768985587233880108100046089,4,True,False
199,x^4 - x^3 - 2*x^2 + 7*x - 9,4,2,1,-5591,64/3*theta_K^3 - 640/3*theta_K^2 + 1024/3*theta_K - 448,-35072/27*theta_K^3 + 92672/27*theta_K^2 - 146432/27*theta_K + 10496/3,x^4 - 57344*x^3 + 822083584*x^2 - 4398046511104*x + 7599824371187712,4,True,False
200,x^4 - x^3 - 2*x^2 + 7*x - 9,4,2,1,-5591,-186176/3*theta_K^3 - 327040/3*theta_K^2 + 492544/3*theta_K - 509248,-589868288/27*theta_K^3 - 994553344/27*theta_K^2 + 1501434880/27*theta_K - 526988032/3,x^4 - 859043266719676578799616*x^3 + 202586424269772600015982764274745344*x^2 + 4943724820379501974232267014022541344768*x + 129282247060129424291831254141422079272026112,4,True,False
201,x^4 - x^2 + 3,4,0,2,5808,-1280/3*theta_K^3 - 256*theta_K^2 + 5120/3*theta_K - 6016/3,78848/9*theta_K^3 + 267904/27*theta_K^2 - 404096/9*theta_K + 1329664/27,-32768,1,True,True
202,x^4 + x^2 + 3,4,0,2,5808,-256/3*theta_K^3 - 256*theta_K^2 - 1024/3*theta_K - 640/3,-6272/3*theta_K^3 - 2688*theta_K^2 - 2688*theta_K + 27776/27,-32768,1,True,True
203,x^4 - x^3 - 3*x^2 - 2*x + 4,4,2,1,-5887,40*theta_K^3 - 40*theta_K^2 - 200*theta_K - 752/3,8960/27*theta_K^3 - 8960/27*theta_K^2 - 44800/27*theta_K - 56192/27,x^2 + 18891*x - 357911,2,True,False
204,x^4 - x^3 - 3*x^2 - 2*x + 4,4,2,1,-5887,-320*theta_K^3 + 320*theta_K^2 + 1600*theta_K + 6128/3,-206080/3*theta_K^3 + 206080/3*theta_K^2 + 1030400/3*theta_K + 11842688/27,x^2 + 18891*x - 357911,2,True,False
205,x^4 - x^3 - 3*x^2 - 2*x + 4,4,2,1,-5887,2880*theta_K^3 - 2880*theta_K^2 - 14400*theta_K - 55312/3,1872640*theta_K^3 - 1872640*theta_K^2 - 9363200*theta_K - 322845568/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
206,x^4 - x^3 - 3*x^2 - 2*x + 4,4,2,1,-5887,3240*theta_K^3 - 3240*theta_K^2 - 16200*theta_K - 62192/3,6298880/27*theta_K^3 - 6298880/27*theta_K^2 - 31494400/27*theta_K - 40247168/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
207,x^4 + 9*x^2 + 1,4,0,2,5929,-15/2*theta_K^3 + 5/2*theta_K^2 - 15/2*theta_K,-35*theta_K^3 - 72*theta_K^2 - 9,-3375,1,True,True
208,x^4 + 9*x^2 + 1,4,0,2,5929,255/2*theta_K^3 + 85/2*theta_K^2 + 255/2*theta_K,1995*theta_K^3 - 4104*theta_K^2 - 513,16581375,1,True,True
209,x^4 + 4*x^2 + 6,4,0,2,6144,-160/3*theta_K^3 + 160/3*theta_K^2 - 400/3*theta_K + 20/3,6496/27*theta_K^3 - 10640/27*theta_K^2 + 2240/3*theta_K - 10976/27,8000,1,True,True
210,x^4 - 4*x^2 + 6,4,0,2,6144,-40/3,-448/27,8000,1,True,True
211,x^4 - 5*x^2 - 4,4,2,1,-6724,-391/6*theta_K^3 - 901/6*theta_K^2 + 374*theta_K + 850,18085/9*theta_K^3 - 8897/9*theta_K^2 - 308900/27*theta_K + 151124/27,x^2 - 314432*x - 24137569,2,True,False
212,x^4 - 5*x^2 - 4,4,2,1,-6724,-391/6*theta_K^3 - 901/6*theta_K^2 + 374*theta_K + 850,-87835/9*theta_K^3 + 43007/9*theta_K^2 + 1502300/27*theta_K - 735404/27,x^2 - 314432*x - 24137569,2,True,False
213,x^4 - 5*x^2 - 4,4,2,1,-6724,-25*theta_K^2 - 77/3,-3530/27*theta_K^2 - 2470/27,x^2 - 264706*x + 454756609,2,True,False
214,x^4 - 5*x^2 - 4,4,2,1,-6724,-160*theta_K^2 - 337/3,160/3*theta_K^2 + 1010/27,x^2 - 264706*x + 454756609,2,True,False
215,x^4 - 5*x^2 - 4,4,2,1,-6724,-9671/6*theta_K^3 - 22981/6*theta_K^2 - 1098*theta_K - 2734,5182277/9*theta_K^3 + 12374815/9*theta_K^2 + 10910684/27*theta_K + 26042324/27,x^4 - 98447942240*x^3 + 1871385263527936*x^2 - 59004489045184189120*x - 6147797916193208877601,4,True,False
216,x^4 - 5*x^2 - 4,4,2,1,-6724,9671/6*theta_K^3 - 22981/6*theta_K^2 + 1098*theta_K - 2734,-5182277/9*theta_K^3 + 12374815/9*theta_K^2 - 10910684/27*theta_K + 26042324/27,x^4 - 98447942240*x^3 + 1871385263527936*x^2 - 59004489045184189120*x - 6147797916193208877601,4,True,False
217,x^4 - 5*x^2 - 4,4,2,1,-6724,-2560/3*theta_K^2 - 1793/3,-655340/27*theta_K^2 - 153254/9,x^2 - 68765615552*x + 118740008189951,2,True,False
218,x^4 - 5*x^2 - 4,4,2,1,-6724,965/3*theta_K^2 + 547/3,3514/27*theta_K^2 + 1810/9,x^2 - 68765615552*x + 118740008189951,2,True,False
219,x^4 - 5*x^2 - 4,4,2,1,-6724,37081/6*theta_K^3 - 85349/6*theta_K^2 + 10658/3*theta_K - 35530/3,27247775/27*theta_K^3 - 64750643/27*theta_K^2 + 18588188/27*theta_K - 46221932/27,x^4 - 4728709542442212002720*x^3 + 1470697414644979911908305216*x^2 + 317313907743502173881023720893440*x - 102134579433854342020502209539306946561,4,True,False
220,x^4 - 5*x^2 - 4,4,2,1,-6724,-37081/6*theta_K^3 - 85349/6*theta_K^2 - 10658/3*theta_K - 35530/3,-27247775/27*theta_K^3 - 64750643/27*theta_K^2 - 18588188/27*theta_K - 46221932/27,x^4 - 4728709542442212002720*x^3 + 1470697414644979911908305216*x^2 + 317313907743502173881023720893440*x - 102134579433854342020502209539306946561,4,True,False
221,x^4 - 5*x^2 - x + 1,4,4,0,6809,2015/3*theta_K^3 + 41*theta_K^2 - 2924*theta_K - 1585,-147214/27*theta_K^3 - 132262/27*theta_K^2 + 851624/27*theta_K + 512086/27,x^4 + 19303*x^3 - 88500005*x^2 + 82527781988*x - 17434421857,4,True,False
222,x^4 - 5*x^2 - x + 1,4,4,0,6809,597*theta_K^3 + 379/3*theta_K^2 - 9476/3*theta_K - 1793,116470/9*theta_K^3 + 110858/27*theta_K^2 - 1741592/27*theta_K - 327326/9,x^4 - 575902267*x^3 + 50121858335831*x^2 - 1141274494390654766*x + 2236431267821783503297,4,True,False
223,x^4 - 5*x^2 - x + 1,4,4,0,6809,1280/3*theta_K^3 + 1456/3*theta_K^2 - 6416/3*theta_K - 8944/3,823424/27*theta_K^3 + 379904/27*theta_K^2 - 3332480/27*theta_K - 132736/3,x^4 - 2586284058918624403*x^3 - 101397658047545360960071*x^2 + 367185673496981176997409256*x + 65056399514559066721405537,4,True,False
224,x^4 - 5*x^2 - x + 1,4,4,0,6809,-7888/3*theta_K^3 + 768*theta_K^2 + 42224/3*theta_K - 15152/3,-517120/9*theta_K^3 + 9600*theta_K^2 + 8928256/27*theta_K - 3245056/27,x^4 - 331562316995496923*x^3 + 512881318626187337797399*x^2 - 1281787014039830117482521820*x + 700855872420501047545795583,4,True,False
225,x^4 - 5*x^2 - x + 1,4,4,0,6809,58048/3*theta_K^3 - 39280*theta_K^2 - 45440/3*theta_K + 24704/3,104717440/27*theta_K^3 - 216397568/27*theta_K^2 - 75609344/27*theta_K + 50168320/27,x^4 - 3481664711*x^3 + 3013073743403233779*x^2 - 272607395337742296122654*x + 4901189431544633482243353217,4,True,False
226,x^4 - 5*x^2 - x + 1,4,4,0,6809,-26432/3*theta_K^3 + 18320*theta_K^2 + 19840/3*theta_K - 17536/3,384118912/27*theta_K^3 - 794360576/27*theta_K^2 - 276564224/27*theta_K + 185385472/27,x^4 - 3509552432805277325*x^3 + 14821801576037075987422747305*x^2 + 583245562081825296049410512588632*x - 7599067026232870433749983225513983,4,True,False
227,x^4 - 2*x^3 - 4*x^2 + 3*x + 3,4,4,0,7053,80*theta_K^3 - 880/3*theta_K^2 + 144*theta_K + 96,3832192/27*theta_K^3 - 4278272/9*theta_K^2 + 675200/9*theta_K + 318976,x^4 + 56543*x^3 - 102527821*x^2 - 593446041*x - 85766121,4,True,False
228,x^4 - 2*x^3 - 4*x^2 + 3*x + 3,4,4,0,7053,7072/3*theta_K^3 - 7904*theta_K^2 + 3952/3*theta_K + 15392/3,-3115648/27*theta_K^3 + 1190912/3*theta_K^2 - 262016/3*theta_K - 7316480/27,x^4 + 32438586362*x^3 + 15128218555463*x^2 + 81463764183386*x + 23298085122481,4,True,False
229,x^4 - 2*x^3 - 4*x^2 + 3*x + 3,4,4,0,7053,64*theta_K^3 - 176*theta_K^2 + 80*theta_K - 400/3,-5120/3*theta_K^3 + 16384/3*theta_K^2 - 1024/3*theta_K - 136064/27,x^4 + 48892874*x^3 + 550489715277191*x^2 + 1165785981344619530*x - 533095889962276645199,4,True,False
230,x^4 - 2*x^3 - 4*x^2 + 3*x + 3,4,4,0,7053,24304*theta_K^3 - 645200/3*theta_K^2 + 76816*theta_K + 153616,75294848/27*theta_K^3 - 1521092608/27*theta_K^2 + 70297088/3*theta_K + 375724288/9,x^4 - 2381157128607662191*x^3 - 164515888919575003754772852310621639*x^2 - 26357088588423880531875176624352900740757*x - 2403881514777236957915558854783271044274361,4,True,False
231,x^4 - 5*x^2 + 1,4,4,0,7056,-320*theta_K^3 + 1280*theta_K - 560,-3328*theta_K^3 + 3840*theta_K^2 + 19968*theta_K - 9600,-3375,1,True,True
232,x^4 - 5*x^2 + 1,4,4,0,7056,-320*theta_K^3 + 1280*theta_K - 560,3328*theta_K^3 - 3840*theta_K^2 - 19968*theta_K + 9600,-3375,1,True,True
233,x^4 - 5*x^2 + 1,4,4,0,7056,712*theta_K^3 - 1424*theta_K^2 - 384*theta_K + 196,87008/3*theta_K^3 - 578080/9*theta_K^2 - 14240/3*theta_K + 125728/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
234,x^4 - 5*x^2 + 1,4,4,0,7056,-712*theta_K^3 - 1424*theta_K^2 + 384*theta_K + 196,-87008/3*theta_K^3 - 578080/9*theta_K^2 + 14240/3*theta_K + 125728/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
235,x^4 - 5*x^2 + 1,4,4,0,7056,-712*theta_K^3 - 1424*theta_K^2 + 384*theta_K + 196,87008/3*theta_K^3 + 578080/9*theta_K^2 - 14240/3*theta_K - 125728/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
236,x^4 - 5*x^2 + 1,4,4,0,7056,712*theta_K^3 - 1424*theta_K^2 - 384*theta_K + 196,-87008/3*theta_K^3 + 578080/9*theta_K^2 + 14240/3*theta_K - 125728/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
237,x^4 - 5*x^2 + 1,4,4,0,7056,72*theta_K^3 + 144*theta_K^2 - 64*theta_K - 76,-13120/3*theta_K^3 - 87200/9*theta_K^2 + 1888/3*theta_K + 17408/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
238,x^4 - 5*x^2 + 1,4,4,0,7056,72*theta_K^3 + 144*theta_K^2 - 64*theta_K - 76,13120/3*theta_K^3 + 87200/9*theta_K^2 - 1888/3*theta_K - 17408/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
239,x^4 - 5*x^2 + 1,4,4,0,7056,-72*theta_K^3 + 144*theta_K^2 + 64*theta_K - 76,-13120/3*theta_K^3 + 87200/9*theta_K^2 + 1888/3*theta_K - 17408/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
240,x^4 - 5*x^2 + 1,4,4,0,7056,-72*theta_K^3 + 144*theta_K^2 + 64*theta_K - 76,13120/3*theta_K^3 - 87200/9*theta_K^2 - 1888/3*theta_K + 17408/9,x^4 - 3196800946944*x^3 - 5663679223085309952*x^2 + 88821246589810089394176*x - 5133201653210986057826304,4,True,True
241,x^4 - 5*x^2 + 1,4,4,0,7056,-5440*theta_K^3 + 21760*theta_K - 9520,-189696*theta_K^3 + 218880*theta_K^2 + 1138176*theta_K - 547200,16581375,1,True,True
242,x^4 - 5*x^2 + 1,4,4,0,7056,-5440*theta_K^3 + 21760*theta_K - 9520,189696*theta_K^3 - 218880*theta_K^2 - 1138176*theta_K + 547200,16581375,1,True,True
243,x^4 - 5*x^2 + 1,4,4,0,7056,1220*theta_K^3 - 1920*theta_K^2 - 1520*theta_K - 275,-46652*theta_K^3 + 110940*theta_K^2 - 5688*theta_K - 29830,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
244,x^4 - 5*x^2 + 1,4,4,0,7056,-1220*theta_K^3 - 1920*theta_K^2 + 1520*theta_K - 275,46652*theta_K^3 + 110940*theta_K^2 + 5688*theta_K - 29830,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
245,x^4 - 5*x^2 + 1,4,4,0,7056,-1220*theta_K^3 - 1920*theta_K^2 + 1520*theta_K - 275,-46652*theta_K^3 - 110940*theta_K^2 - 5688*theta_K + 29830,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
246,x^4 - 5*x^2 + 1,4,4,0,7056,1220*theta_K^3 - 1920*theta_K^2 - 1520*theta_K - 275,46652*theta_K^3 - 110940*theta_K^2 + 5688*theta_K + 29830,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
247,x^4 + 7*x^2 + 49,4,0,2,7056,-3840/7*theta_K^3 - 10160,-259072/7*theta_K^3 - 685440,-3375,1,True,True
248,x^4 + 7*x^2 + 49,4,0,2,7056,3840/7*theta_K^3 - 10160/7*theta_K^2 + 3840*theta_K,259072/7*theta_K^3 + 685440,-3375,1,True,True
249,x^4 + 7*x^2 + 49,4,0,2,7056,65280/7*theta_K^3 - 172720/7*theta_K^2 + 65280*theta_K,-14767104/7*theta_K^3 - 39070080,16581375,1,True,True
250,x^4 + 7*x^2 + 49,4,0,2,7056,-65280/7*theta_K^3 - 172720,14767104/7*theta_K^3 + 39070080,16581375,1,True,True
251,x^4 + 7*x^2 + 49,4,0,2,7056,-4320/7*theta_K^3 - 11435/7*theta_K^2 - 4320*theta_K,-201952/7*theta_K^3 + 534310,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
252,x^4 + 7*x^2 + 49,4,0,2,7056,4320/7*theta_K^3 - 11435,201952/7*theta_K^3 - 534310,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
253,x^4 + 7*x^2 + 49,4,0,2,7056,-4320/7*theta_K^3 - 11435,-201952/7*theta_K^3 - 534310,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
254,x^4 + 7*x^2 + 49,4,0,2,7056,11435/7*theta_K^2 - 4320*theta_K + 11435,201952/7*theta_K^3 + 534310,x^2 - 274917323970000*x + 1337635747140890625,2,True,True
255,x^4 - 2*x^3 - x^2 + 2*x + 22,4,0,2,7056,5,-8/19*theta_K^3 + 12/19*theta_K^2 - 24/19*theta_K + 10/19,-3375,1,True,True
256,x^4 - 2*x^3 - x^2 + 2*x + 22,4,0,2,7056,5,8/19*theta_K^3 - 12/19*theta_K^2 + 24/19*theta_K - 10/19,-3375,1,True,True
257,x^4 - 2*x^3 - x^2 + 2*x + 22,4,0,2,7056,85,-24*theta_K^3 + 36*theta_K^2 - 72*theta_K + 30,16581375,1,True,True
258,x^4 - 2*x^3 - x^2 + 2*x + 22,4,0,2,7056,85,24*theta_K^3 - 36*theta_K^2 + 72*theta_K - 30,16581375,1,True,True
259,x^4 - x^3 - 3,4,2,1,-7155,73792/3*theta_K^3 - 156560/3*theta_K^2 + 175648/3*theta_K - 197200/3,-123134336/27*theta_K^3 + 29036416/3*theta_K^2 - 97762688/9*theta_K + 329153920/27,x^4 + 1562591*x^3 + 5057541621*x^2 + 4156827751409*x - 325078805769479,4,True,False
260,x^4 - x^3 - 3,4,2,1,-7155,-96*theta_K^3 + 880/3*theta_K^2 - 1360/3*theta_K + 1136/3,29824/27*theta_K^3 - 18688/9*theta_K^2 + 13312/9*theta_K - 48128/27,x^4 - 44779*x^3 - 888363279*x^2 + 45538342244219*x - 66547800340666919,4,True,False
261,x^4 - 11*x^2 + 9,4,4,0,7225,-1792/9*theta_K^3 + 256*theta_K^2 + 18176/9*theta_K - 2608,91136/81*theta_K^3 + 44032/27*theta_K^2 - 922624/81*theta_K - 443776/27,x^4 - 119370700*x^3 + 206150595125*x^2 + 2712218612500*x - 2730791251109375,4,True,False
262,x^4 - 11*x^2 + 9,4,4,0,7225,14552/9*theta_K^3 + 1536*theta_K^2 - 147136/9*theta_K - 15528,426496/81*theta_K^3 + 5120*theta_K^2 - 4312064/81*theta_K - 1397120/27,x^4 - 119370700*x^3 + 206150595125*x^2 + 2712218612500*x - 2730791251109375,4,True,False
263,x^4 - 11*x^2 + 9,4,4,0,7225,4312/9*theta_K^3 - 1536*theta_K^2 - 3776/9*theta_K + 1368,126464/81*theta_K^3 - 5120*theta_K^2 - 111616/81*theta_K + 123520/27,x^4 - 119370700*x^3 + 206150595125*x^2 + 2712218612500*x - 2730791251109375,4,True,False
264,x^4 - 11*x^2 + 9,4,4,0,7225,-539/18*theta_K^3 - 96*theta_K^2 + 236/9*theta_K + 171/2,-1976/81*theta_K^3 - 80*theta_K^2 + 1744/81*theta_K + 1930/27,x^4 - 119370700*x^3 + 206150595125*x^2 + 2712218612500*x - 2730791251109375,4,True,False
265,x^4 - 11*x^2 + 9,4,4,0,7225,-1399/18*theta_K^3 - 23/2*theta_K^2 + 20507/18*theta_K - 1008,207571/81*theta_K^3 - 107456/27*theta_K^2 - 1577162/81*theta_K + 533813/27,x^2 - 352375*x + 3981876625,2,True,False
266,x^4 - 11*x^2 + 9,4,4,0,7225,-4585/18*theta_K^3 + 32*theta_K^2 + 30895/9*theta_K - 6107/2,-1039007/81*theta_K^3 + 52696/3*theta_K^2 + 8679850/81*theta_K - 2861167/27,x^2 - 352375*x + 3981876625,2,True,False
267,x^4 - 11*x^2 + 9,4,4,0,7225,-2200/9*theta_K^3 - 72*theta_K^2 + 16520/9*theta_K - 1984,-497920/81*theta_K^3 - 34304/27*theta_K^2 + 3777536/81*theta_K - 1141888/27,x^2 - 115561006675*x + 653633049786625,2,True,False
268,x^4 - 11*x^2 + 9,4,4,0,7225,2560/9*theta_K^3 + 72*theta_K^2 - 21560/9*theta_K - 2776,566528/81*theta_K^3 + 34304/27*theta_K^2 - 4738048/81*theta_K - 1519232/27,x^2 - 115561006675*x + 653633049786625,2,True,False
269,x^4 - 11*x^2 + 9,4,4,0,7225,5480/9*theta_K^3 + 568*theta_K^2 - 27640/9*theta_K - 6464,727808/81*theta_K^3 - 937472/27*theta_K^2 - 9705472/81*theta_K - 4238464/27,x^4 - 13354344784518517021600*x^3 + 312318377176920168155950590125*x^2 + 107345553147881929123528626706150000*x - 43789355168386005860389696775611109375,4,True,False
270,x^4 - 11*x^2 + 9,4,4,0,7225,-5480/9*theta_K^3 + 568*theta_K^2 + 27640/9*theta_K - 6464,-727808/81*theta_K^3 - 937472/27*theta_K^2 + 9705472/81*theta_K - 4238464/27,x^4 - 13354344784518517021600*x^3 + 312318377176920168155950590125*x^2 + 107345553147881929123528626706150000*x - 43789355168386005860389696775611109375,4,True,False
271,x^4 - 11*x^2 + 9,4,4,0,7225,10880/9*theta_K^3 - 568*theta_K^2 - 103240/9*theta_K - 216,-566528/81*theta_K^3 + 937472/27*theta_K^2 + 8415232/81*theta_K - 14550656/27,x^4 - 13354344784518517021600*x^3 + 312318377176920168155950590125*x^2 + 107345553147881929123528626706150000*x - 43789355168386005860389696775611109375,4,True,False
272,x^4 - 11*x^2 + 9,4,4,0,7225,-29440/9*theta_K^3 - 4688*theta_K^2 + 330560/9*theta_K + 34544,52051712/81*theta_K^3 + 13614592/27*theta_K^2 - 507609088/81*theta_K - 157818496/27,x^4 - 13354344784518517021600*x^3 + 312318377176920168155950590125*x^2 + 107345553147881929123528626706150000*x - 43789355168386005860389696775611109375,4,True,False
273,x^4 - x^3 - 5*x^2 + 4*x + 3,4,4,0,7537,-25/3*theta_K^3 + 14/3*theta_K^2 + 31/3*theta_K + 8/3,322/27*theta_K^3 - 2404/27*theta_K^2 + 614/9*theta_K + 1528/27,x^4 + 27113*x^3 + 152202516*x^2 - 57344549917*x + 3986400342016,4,True,False
274,x^4 - x^3 - 5*x^2 + 4*x + 3,4,4,0,7537,-6*theta_K^3 - 7/3*theta_K^2 + 67/3*theta_K + 20/3,536/27*theta_K^3 + 146/27*theta_K^2 - 2540/27*theta_K - 1318/27,x^4 + 27113*x^3 + 152202516*x^2 - 57344549917*x + 3986400342016,4,True,False
275,x^4 - x^3 - 5*x^2 + 4*x + 3,4,4,0,7537,-306160/3*theta_K^3 - 121952*theta_K^2 + 754240/3*theta_K + 450608/3,-588159872/27*theta_K^3 - 1842715264/27*theta_K^2 + 230989312/9*theta_K + 4095153920/27,x^4 + 2916183489787603759523*x^3 + 10467168732004861321299798839016*x^2 + 375746609542859204656089753311779283*x - 4730497267512536730534180261146624,4,True,False
276,x^4 - x^3 - 5*x^2 + 4*x + 3,4,4,0,7537,-234848*theta_K^3 - 272720*theta_K^2 + 585616*theta_K + 980288/3,-389213696/3*theta_K^3 - 448966016/3*theta_K^2 + 972785920/3*theta_K + 4803934336/27,x^4 + 2916183489787603759523*x^3 + 10467168732004861321299798839016*x^2 + 375746609542859204656089753311779283*x - 4730497267512536730534180261146624,4,True,False
277,x^4 - x^3 + 8*x^2 + 7*x + 49,4,0,2,7569,5/8*theta_K^3 - 151/24,35/27*theta_K^3 - 353/27,x^2 + 18891*x - 357911,2,True,False
278,x^4 - x^3 + 8*x^2 + 7*x + 49,4,0,2,7569,19/21*theta_K^3 - 47/21*theta_K^2 + 152/21*theta_K + 19/3,-35/27*theta_K^3 - 1123/27,x^2 + 18891*x - 357911,2,True,False
279,x^4 - x^3 + 8*x^2 + 7*x + 49,4,0,2,7569,-4754/21*theta_K^3 + 38032/21*theta_K^2 + 82928/21*theta_K + 33278/3,468160*theta_K^3 - 133240768/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
280,x^4 - x^3 + 8*x^2 + 7*x + 49,4,0,2,7569,-11666/21*theta_K^3 - 42752/21*theta_K^2 - 93328/21*theta_K - 11666/3,1574720/27*theta_K^3 - 16626368/27,x^2 + 7580312864451*x + 144612187806169,2,True,False
281,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,100*theta_K^3 - 484*theta_K^2 - 2804*theta_K - 2656,-57600*theta_K^3 - 89344*theta_K^2 + 270080*theta_K + 385408,x^4 - 14202186624*x^3 + 21442273315326*x^2 + 16786798771078656*x + 179254454979432321,4,True,False
282,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,128*theta_K^3 + 80*theta_K^2 - 992*theta_K - 1200,2432*theta_K^3 + 1152*theta_K^2 - 17792*theta_K - 20096,x^4 - 14202186624*x^3 + 21442273315326*x^2 + 16786798771078656*x + 179254454979432321,4,True,False
283,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-237/4*theta_K^3 - 471/4*theta_K^2 + 749/4*theta_K + 321,-392*theta_K^3 - 768*theta_K^2 + 1248*theta_K + 2118,x^4 - 14202186624*x^3 + 21442273315326*x^2 + 16786798771078656*x + 179254454979432321,4,True,False
284,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-11/4*theta_K^3 + 15/4*theta_K^2 + 75/4*theta_K - 30,18*theta_K^3 - 42*theta_K^2 - 98*theta_K + 198,x^4 - 14202186624*x^3 + 21442273315326*x^2 + 16786798771078656*x + 179254454979432321,4,True,False
285,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-2811*theta_K^3 + 16653*theta_K^2 + 10028*theta_K - 102912,-942742*theta_K^3 + 1347188*theta_K^2 + 6048624*theta_K - 5188416,x^2 - 1439586*x + 158252632929,2,True,False
286,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,13568*theta_K^3 + 9841*theta_K^2 - 105576*theta_K - 127600,2391898*theta_K^3 + 1708156*theta_K^2 - 18594864*theta_K - 22309312,x^2 - 1439586*x + 158252632929,2,True,False
287,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,22528*theta_K^3 + 18401*theta_K^2 - 176616*theta_K - 226160,-1418454*theta_K^3 - 1101476*theta_K^2 + 11083344*theta_K + 13842496,x^2 - 1739558618946*x + 3239755354654209,2,True,False
288,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-91851*theta_K^3 + 232893*theta_K^2 + 524908*theta_K - 1208832,-42070598*theta_K^3 + 99323668*theta_K^2 + 245080816*theta_K - 502830400,x^2 - 1739558618946*x + 3239755354654209,2,True,False
289,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-35604*theta_K^3 - 41084*theta_K^2 + 100884*theta_K + 123408,10678144*theta_K^3 + 22082688*theta_K^2 - 34180480*theta_K - 60060800,x^4 - 3026064179681340894735264*x^3 - 1751527275796510177906956392514*x^2 + 2945676444708883953115684713034493856*x - 4714322682222067279594500209983074918399,4,True,False
290,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-3931968*theta_K^3 - 7726272*theta_K^2 + 12443712*theta_K + 21187280,-16063588608*theta_K^3 - 31588402944*theta_K^2 + 50867322112*theta_K + 86641564544,x^4 - 3026064179681340894735264*x^3 - 1751527275796510177906956392514*x^2 + 2945676444708883953115684713034493856*x - 4714322682222067279594500209983074918399,4,True,False
291,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-31764*theta_K^3 - 21500*theta_K^2 + 245524*theta_K + 285584,2317312*theta_K^3 + 1698816*theta_K^2 - 18062336*theta_K - 21974144,x^4 - 3026064179681340894735264*x^3 - 1751527275796510177906956392514*x^2 + 2945676444708883953115684713034493856*x - 4714322682222067279594500209983074918399,4,True,False
292,x^4 - x^3 - 9*x^2 + 4*x + 16,4,4,0,7625,-74060*theta_K^3 + 150748*theta_K^2 + 447436*theta_K - 720608,23670912*theta_K^3 - 56431744*theta_K^2 - 137564800*theta_K + 286757760,x^4 - 3026064179681340894735264*x^3 - 1751527275796510177906956392514*x^2 + 2945676444708883953115684713034493856*x - 4714322682222067279594500209983074918399,4,True,False
