,A,B,K,d,r,s,D,j,j_deg,gmm
0,101/15*theta_K^4 - 103/15*theta_K^3 + 43/3*theta_K^2 - 144/5*theta_K + 67/15,6512/135*theta_K^4 - 7306/135*theta_K^3 + 968/9*theta_K^2 - 29234/135*theta_K + 6284/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 - 2247*x^4 + 2087700*x^3 - 184305549*x^2 - 63697473995*x + 496981290961,5,True
1,-6512/15*theta_K^4 - 8704/15*theta_K^3 - 3904/3*theta_K^2 - 4432/5*theta_K + 1552/5,-1830656/135*theta_K^4 - 852224/45*theta_K^3 - 1108864/27*theta_K^2 - 456832/15*theta_K + 1219328/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 4514220*x^4 + 119371280031*x^3 + 26676316241491803*x^2 + 4626308800434471211*x - 1011443072587698113999,5,True
2,8960*theta_K^4 + 2176*theta_K^3 + 8704*theta_K^2 - 15824*theta_K - 124960/3,3388288/3*theta_K^4 + 761984/3*theta_K^3 + 3612416/3*theta_K^2 - 5959936/3*theta_K - 132833536/27,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 3557878878*x^4 + 34949933457765*x^3 - 274587691447436439*x^2 + 117698649072370730995*x + 946343765764999804058641,5,True
3,-675728/15*theta_K^4 + 258128/5*theta_K^3 - 298640/3*theta_K^2 + 1026512/5*theta_K - 642176/15,2954730112/135*theta_K^4 - 3258933376/135*theta_K^3 + 1310380544/27*theta_K^2 - 4378524928/45*theta_K + 891998848/45,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 10705014225*x^4 - 74798318526438114*x^3 + 135924133374101503852593*x^2 - 109895027809492531283440949*x - 209982182021212678422910128719,5,True
4,8573/15*theta_K^4 - 14479/15*theta_K^3 + 2564/3*theta_K^2 - 18027/5*theta_K - 1819/15,-439462/15*theta_K^4 + 295436/15*theta_K^3 - 217658/3*theta_K^2 + 1418324/15*theta_K - 3833486/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 1229168858213342764562610653136*x^4 + 10841006241851063233210656435724785*x^3 - 3122404676288582406128837221721945235*x^2 - 2220328622335023803505630802288682159327*x - 481994823093215823200373116723373367627919,5,True
5,-2066048/15*theta_K^4 - 641456/15*theta_K^3 - 1114592/3*theta_K^2 + 1343936/15*theta_K - 164096/15,-7373534336/135*theta_K^4 - 3687997312/135*theta_K^3 - 4033309568/27*theta_K^2 + 1149695872/135*theta_K + 786191488/135,x^5 + x^3 - 2*x^2 - 4*x + 1,5,3,1,-22935,x^5 + 90500434355462016531*x^4 + 53443776596917385065777455570*x^3 + 55545456319595397707187152479785285*x^2 + 32449617976704299788970253149821427593*x + 46872312028251112012166773149221913138742801,5,True
6,9104/3*theta_K^4 + 1616/3*theta_K^3 - 17072/3*theta_K^2 + 2512/3*theta_K - 1504,4733696/27*theta_K^4 + 555136/27*theta_K^3 - 8549632/27*theta_K^2 + 1206784/27*theta_K - 758272/9,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 13011*x^4 + 77138593*x^3 - 224140407074*x^2 + 198066753281064*x - 30540142277644033,5,True
7,-56*theta_K^4 + 85/3*theta_K^3 + 41*theta_K^2 - theta_K + 44/3,668/3*theta_K^4 + 7100/27*theta_K^3 - 20302/27*theta_K^2 + 3890/27*theta_K - 4970/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 17912151*x^4 + 211538961445*x^3 - 491020293841130*x^2 + 209897509261759452*x - 127629500558320216513,5,True
8,2612/3*theta_K^4 - 1772/3*theta_K^3 - 7609/3*theta_K^2 + 164*theta_K - 1996/3,-473324/27*theta_K^4 + 108022/9*theta_K^3 + 457156/9*theta_K^2 - 86144/27*theta_K + 359296/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 2405317*x^4 - 1400788764295*x^3 - 1383531236504112454*x^2 + 5188928287266551027472*x + 35527581659131203783318913,5,True
9,-2417*theta_K^4 + 10714/3*theta_K^3 - 3239/3*theta_K^2 + 2225/3*theta_K - 89/3,-3682414/27*theta_K^4 + 6350510/27*theta_K^3 - 2969000/27*theta_K^2 + 1573178/27*theta_K - 356728/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 320395420634895*x^4 + 20956418222909989827757*x^3 + 927107066269987476428278030*x^2 - 31640116028343810841729364542188*x - 1590996996862490638188723972848827393,5,True
10,-2536*theta_K^4 + 27925/3*theta_K^3 - 9159*theta_K^2 + 2879*theta_K - 5476/3,-305052*theta_K^4 + 26216108/27*theta_K^3 - 23690158/27*theta_K^2 + 7964066/27*theta_K - 4558106/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 102653183650493822663078702703*x^4 - 678131407458984402601142244053135*x^3 + 506439670111830428315077492142314834*x^2 - 528506494797783540852052592080311432864*x + 340125264327358037602603426211733823487,5,True
11,-54594*theta_K^4 - 3848*theta_K^3 + 94177*theta_K^2 - 38645/3*theta_K + 75734/3,-469327838/27*theta_K^4 - 45806336/27*theta_K^3 + 833234992/27*theta_K^2 - 116096374/27*theta_K + 222330634/27,x^5 - 2*x^4 - 2*x^3 + 4*x^2 - x + 1,5,3,1,-29963,x^5 - 4283895911476897*x^4 + 21508141431784348256531633*x^3 - 39121187238265095604973126337363394*x^2 + 24654486326766347198022802365221123526643104*x + 453943854079645249260616587793475200652601778839553,5,True
12,128*theta_K^4 - 976/3*theta_K^3 + 512/3*theta_K^2 + 176/3*theta_K - 80/3,-210688/9*theta_K^4 + 1456384/27*theta_K^3 - 1300864/27*theta_K^2 + 560384/27*theta_K + 447488/27,x^5 - x^4 - x^3 + 2*x^2 - 2*x - 1,5,3,1,-34196,x^5 - 91537*x^4 - 155755577*x^3 - 239290103886*x^2 - 159591857496842*x + 1256320823603327,5,True
