,A,B,K,d,r,s,D,j,j_deg,gmm
0,-5*theta_K^2 - 26*theta_K - 31/3,-4214/27*theta_K^2 - 1204/9*theta_K - 86/3,x^3 - x^2 + 4*x + 2,3,1,1,-484,-121,1,True
1,-256/3*theta_K^2 - 48,-1024/3*theta_K^2 + 28672/27*theta_K + 2944/9,x^3 - x^2 + 4*x + 2,3,1,1,-484,x^3 - 356689*x^2 + 3836207433*x - 158524881613561,3,True
2,-24762144*theta_K^2 + 35481088*theta_K - 343222489/3,2983494618016/27*theta_K^2 - 1424992860160/9*theta_K + 510537598862,x^3 - x^2 + 4*x + 2,3,1,1,-484,-24729001,1,True
3,2081/3*theta_K^2 + 70*theta_K - 101,-397478/27*theta_K^2 - 195580/27*theta_K - 10166/27,x^3 - x^2 + 4*x + 2,3,1,1,-484,x^3 - 611560287373489*x^2 + 908938677718357113*x - 15221648299278341349001,3,True
4,14831/3*theta_K^2 + 3163*theta_K + 15074,116386/3*theta_K^2 + 74464/3*theta_K + 3193904/27,x^3 - x^2 + 2*x - 5,3,1,1,-543,x^3 - 8452*x^2 + 26939375*x - 26330609375,3,True
5,-79/3*theta_K^2 - 17*theta_K - 71,134*theta_K^2 + 238/3*theta_K + 10964/27,x^3 - x^2 + 2*x - 5,3,1,1,-543,x^3 - 1437292*x^2 + 4070602390625*x + 64108060761390625,3,True
6,-1953408*theta_K^2 - 1249792*theta_K - 17868688/3,2737689088*theta_K^2 + 5254736896/3*theta_K + 225385763456/27,x^3 - x^2 + 2*x - 5,3,1,1,-543,x^3 + 4405745453438*x^2 + 4834090610609375*x + 3739934718921390625,3,True
7,-3045904/3*theta_K^2 - 649552*theta_K - 3095776,-3368693632/3*theta_K^2 - 718432256*theta_K - 92444821504/27,x^3 - x^2 + 2*x - 5,3,1,1,-543,x^3 + 30820072178*x^2 + 1286041853778074082875*x + 11213226166733445108390625,3,True
8,-64/3*theta_K^2 - 64,-1024/27,x^3 - x^2 + 5*x + 1,3,1,1,-588,1792,1,True
9,-2348812427034424409417117073408*theta_K^2 + 3131683179464397266177595801600*theta_K - 13460944041858285444276424802304,3814044431130075029622116080939144483608461312*theta_K^2 - 4331574214594378086877039524069949192309571584*theta_K + 19509952040723844223248431736587384030440194048,x^3 - x^2 + 5*x + 1,3,1,1,-588,x^3 - 60791040*x^2 - 1235778600960*x - 8177943259906048,3,False
10,-1612352/3*theta_K^2 + 640256*theta_K - 8428736/3,-1066161152/3*theta_K^2 + 423366656*theta_K - 50163785728/27,x^3 - x^2 + 5*x + 1,3,1,1,-588,406749952,1,True
11,-176704/3*theta_K^2 + 69120*theta_K - 304704,-37990400/3*theta_K^2 + 15110144*theta_K - 1791370240/27,x^3 - x^2 + 5*x + 1,3,1,1,-588,x^3 - 67294589448743671101523200*x^2 + 30038606659510159733180006400*x - 16701273211881505426717171253248,3,True
