,A,B,K,d,r,s,D,j,j_deg,gmm
12,-368*theta_K^2 - 2624/3*theta_K - 2032/3,-338816/27*theta_K^2 - 263680/9*theta_K - 608896/27,x^3 - x^2 - 6*x - 6,3,1,1,-744,x^3 + 751018*x^2 + 532543411*x + 113943048192,3,True
13,-99728/3*theta_K^2 - 76672*theta_K - 174448/3,283678336/27*theta_K^2 + 220987648/9*theta_K + 509876864/27,x^3 - x^2 - 6*x - 6,3,1,1,-744,x^3 + 527680969258*x^2 + 48320369139590888131*x + 23748984439707264411131154432,3,True
14,-2464/3*theta_K^2 - 1392*theta_K + 3648,1360000/27*theta_K^2 + 765056/9*theta_K - 2023936/9,x^3 - x^2 - 9*x + 12,3,3,0,1101,x^3 - 9298*x^2 - 5723811*x - 191102976,3,True
15,239312610944750457351995129856*theta_K^2 - 761763759758136478599739342848*theta_K - 1247774377856690970944096698368,129493137420450264728609113737820122038403072*theta_K^2 - 684990691649016231600054979089814608962125824*theta_K - 321982437338773764934125294863159826736742400,x^3 + 4*x - 6,3,1,1,-1228,x^3 - 7121152*x^2 + 262446186496*x - 3123404420939776,3,False
16,-23182187318139906767952171392569898315323105345536*theta_K^2 - 19754961679865912574941777404698484221530955841536*theta_K + 52266102154818026825980845622798524505048026710016,-69449353606301244091505459225191679918797825790981795041988558220171411456*theta_K^2 + 306807326444723201842766891818756374715538126743907738975765514223695691776*theta_K - 258719413682552372833080408354487340927821197973194432600058269151115870208,x^3 + 4*x - 6,3,1,1,-1228,x^3 - 433299712*x^2 + 172750117654429696*x - 47121361551611800846336,3,False
17,-896/3*theta_K^2 + 320*theta_K - 9920/3,-56320/9*theta_K^2 + 20480/3*theta_K - 1875968/27,x^3 - x^2 + 11*x + 1,3,1,1,-1356,x^3 - 17664*x^2 + 55246848*x - 499810041856,3,True
18,-550016/3*theta_K^2 + 200000*theta_K - 6104000/3,-910234624/9*theta_K^2 + 330752000/3*theta_K - 30305871872/27,x^3 - x^2 + 11*x + 1,3,1,1,-1356,x^3 - 866823445089649999104*x^2 + 2580235120290717318709248*x - 33299892905760015459209445376,3,True
19,-332752/3*theta_K^2 + 724544/3*theta_K + 2299328/3,-59305856/27*theta_K^2 + 230627200/9*theta_K - 66815232,x^3 - x^2 - 9*x - 10,3,1,1,-1363,x^3 + 2881*x^2 + 25786411*x - 425259008,3,True
20,385*theta_K^2 - 820*theta_K - 8212/3,-135470/27*theta_K^2 + 332794/27*theta_K + 787444/27,x^3 - x^2 - 9*x - 10,3,1,1,-1363,x^3 + 346421286773791*x^2 - 2951708627151295829*x + 6287748984623691845632,3,True
21,-3*theta_K^2 + 14*theta_K + 45,4*theta_K^2 - 26*theta_K - 76,x^3 - x^2 - 12*x - 11,3,3,0,1369,999,1,True
22,34512*theta_K^2 - 161056*theta_K - 517680,5777664*theta_K^2 - 37554816*theta_K - 109775616,x^3 - x^2 - 12*x - 11,3,3,0,1369,-371323264041,1,True
23,-1363/3*theta_K^2 - 3103/3*theta_K + 541/3,294350/27*theta_K^2 + 1162982/27*theta_K + 1085422/27,x^3 - 8*x - 5,3,3,0,1373,x^3 + 5131*x^2 - 4066173*x + 665338617,3,True
24,-16/3*theta_K^2 - 224/3*theta_K - 400/3,37120/27*theta_K^2 + 107648/27*theta_K + 61696/27,x^3 - x^2 - 8*x - 3,3,3,0,1425,x^3 - 386*x^2 - 394443*x - 8869743,3,True
25,-112969/3*theta_K^2 - 70222/3*theta_K + 465263/3,44333086/9*theta_K^2 - 846028660/27*theta_K + 1070289962/27,x^3 + 5*x - 14,3,1,1,-1448,x^3 - 11089*x^2 + 51657344*x - 1386941943808,3,True
26,-3728/3*theta_K^2 + 87392/3*theta_K - 140944/3,30190720/27*theta_K^2 - 215017216/27*theta_K + 10480512,x^3 + 5*x - 14,3,1,1,-1448,x^3 - 182714449*x^2 - 155041426816*x - 39973623205888,3,True
27,684*theta_K^2 + 688*theta_K - 11476/3,-37152*theta_K^2 - 195392/3*theta_K + 3420736/27,x^3 - x^2 - 7*x + 13,3,1,1,-1452,-121,1,True
28,-10480/3*theta_K^2 + 786*theta_K + 32095,268542*theta_K^2 + 1412332/3*theta_K - 24725756/27,x^3 - x^2 - 7*x + 13,3,1,1,-1452,-24729001,1,True
29,-2080/3*theta_K^2 + 2320*theta_K - 592,-2796032/27*theta_K^2 + 9356800/27*theta_K - 2383232/27,x^3 - x^2 - 7*x + 2,3,3,0,1573,-121,1,True
30,655/3*theta_K^2 - 1310/3*theta_K - 2227,-39784/9*theta_K^2 + 198920/27*theta_K + 1123898/27,x^3 - x^2 - 7*x + 2,3,3,0,1573,-24729001,1,True
31,4*theta_K^2 - 32*theta_K + 64,64*theta_K^2 - 320*theta_K + 800/3,x^3 - 12*x - 14,3,3,0,1620,432,1,True
32,104/3*theta_K^2 - 182/3*theta_K - 1144/3,-1880/9*theta_K^2 + 3008/9*theta_K + 19928/9,x^3 - 12*x - 14,3,3,0,1620,-316368,1,True
33,3300*theta_K^2 - 6680/3*theta_K - 22996/3,-5571680/27*theta_K^2 + 1233920/27*theta_K + 9851776/27,x^3 - x^2 + 3*x + 7,3,1,1,-1772,x^3 + 2928*x^2 + 451420928*x - 641395994624,3,True
34,-28*theta_K^2 - 88/3*theta_K - 244/3,-1120/9*theta_K^2 - 3520/27*theta_K + 1024/3,x^3 - x^2 + 3*x + 7,3,1,1,-1772,x^3 - 7590032*x^2 + 148342582539008*x + 177945864496879292416,3,True
35,-22144*theta_K^2 - 15920*theta_K - 347824/3,-45666688/3*theta_K^2 - 32831360/3*theta_K - 2151915392/27,x^3 - x^2 + 4*x - 9,3,1,1,-1815,-121,1,True
36,-131*theta_K^2 - 2620*theta_K + 14672/3,129298/3*theta_K^2 - 99460/3*theta_K - 1899686/27,x^3 - x^2 + 4*x - 9,3,1,1,-1815,-24729001,1,True
37,-80960/3*theta_K^2 - 246656/3*theta_K - 88576,-69713920/9*theta_K^2 - 212396032/9*theta_K - 686457856/27,x^3 - 6*x - 10,3,1,1,-1836,x^3 - 33024*x^2 + 81985536*x - 115074924544,3,True
38,-9280/3*theta_K^2 + 9088*theta_K + 1024,-839680/3*theta_K^2 + 5367808/9*theta_K + 21085184/27,x^3 - 6*x - 10,3,1,1,-1836,x^3 - 211417344*x^2 + 149744772120576*x - 49049760868738269184,3,True
39,-13064/3*theta_K^2 + 50792/3*theta_K + 12061,-1043768/9*theta_K^2 + 12175240/27*theta_K + 2891086/9,x^3 - x^2 - 14*x - 8,3,3,0,1849,1849,1,True
40,12883/6*theta_K^2 + 15169/2*theta_K + 11558/3,-1702735/27*theta_K^2 - 5957503/27*theta_K - 1006708/9,x^3 - x^2 - 14*x - 8,3,3,0,1849,x^3 - 829489*x^2 + 89225146263*x - 141836472398951,3,True
41,-178581*theta_K^2 - 625418*theta_K - 951352/3,-178401262*theta_K^2 - 1874988628/3*theta_K - 8556999280/27,x^3 - x^2 - 14*x - 8,3,3,0,1849,x^3 - 829489*x^2 + 89225146263*x - 141836472398951,3,True
42,437413/6*theta_K^2 - 567555/2*theta_K - 606370/3,-223222561/27*theta_K^2 + 868073573/27*theta_K + 206125148/9,x^3 - x^2 - 14*x - 8,3,3,0,1849,x^3 - 829489*x^2 + 89225146263*x - 141836472398951,3,True
43,-12306998987709071360*theta_K^2 - 36326865977513672704*theta_K - 107560856356529438720,-777417811863666176583320731648/3*theta_K^2 - 2303163645671490130615539335168/3*theta_K - 6822056143372410884525041647616/3,x^3 - 26,3,1,1,-2028,-208,1,True
44,-183295255640628074091781884678225920*theta_K^2 + 118518793391469207411334810374963200*theta_K + 1257583441766189003051951179115462656,-18439740514112714886150285501625060442602305086291968/3*theta_K^2 - 880824283755524354880403086842813658427776488676786176/3*theta_K + 2771273124276072387834679280217383008486558591034064896/3,x^3 - 26,3,1,1,-2028,x^3 - 3505680*x^2 + 5471456520960*x - 1047286349508608,3,False
45,-64*theta_K^2,5120,x^3 - 26,3,1,1,-2028,1168128,1,True
46,-89801794644950436499402618850436412349536456927400041103360*theta_K^2 - 265070124883026116012029799089564030935183472861567017877504*theta_K - 784850794577184379186001571645820431443597623553577788702720,-158830452301059129682077086991074251919986384479121515132819102617608881704391926477750272/3*theta_K^2 - 470548163398024502502925358121379407524462221665034531155368876152917819406944901951127552/3*theta_K - 1393781112729481194841933111882808670626432423947250144343647768208615216383880879904129024/3,x^3 - 26,3,1,1,-2028,-368484688,1,True
47,-1072351398371617735316876725742706308156871325597576040741801432909732674222789098150140994403549184*theta_K^2 - 3176836801627063478306227503603110532512905634864546154239179987134994316302123684204667203506995200*theta_K - 9411366534792021180718723087928361015551157580957895719691650102214824425980637123841113759217418240,-208062332081419293005736480611430691715676181766648098284684656118440464485146717680542256127000039487839548195783439516289948895131829200167322517504/3*theta_K^2 - 616383840774873369444545588758558095981653101217380192501336610075574556892464573317976551940450852143672924065798950604211431430942321218705898340352/3*theta_K - 1826034704925397028931693586237137051963115603675626369592014156573634848442634601877013457661856298075517906266370517941289923214311646879376826433536/3,x^3 - 26,3,1,1,-2028,x^3 + 50033509694901794521638000*x^2 - 121729700481594478353234904320*x + 80061872248442798469087472340992,3,True
48,-16/3*theta_K^2 - 352*theta_K - 880,-203648/27*theta_K^2 - 154112/9*theta_K + 176128/27,x^3 - 11*x - 11,3,3,0,2057,-121,1,True
49,160/3*theta_K^2 - 176/3*theta_K - 528,44032/27*theta_K^2 - 5504/3*theta_K - 143104/9,x^3 - 11*x - 11,3,3,0,2057,-121,1,True
50,-51352/3*theta_K^2 - 63928*theta_K - 50435,14362024/3*theta_K^2 + 482699272/27*theta_K + 380742826/27,x^3 - 11*x - 11,3,3,0,2057,-24729001,1,True
51,-131/3*theta_K^2 - 131/3*theta_K,9946/27*theta_K^2 + 19892/27*theta_K + 9946/27,x^3 - 11*x - 11,3,3,0,2057,-24729001,1,True
52,29/3*theta_K^2 + 121/3*theta_K + 107/3,2170/27*theta_K^2 - 1882/27*theta_K - 23708/27,x^3 - x^2 - 2*x + 27,3,1,1,-2063,x^3 + 13402*x^2 - 11477673*x + 34296447249,3,True
53,-169/3*theta_K^2 + 244*theta_K - 140,23398/27*theta_K^2 - 105254/27*theta_K + 6758/3,x^3 - x^2 - 13*x + 9,3,3,0,2228,x^3 + 2510971*x^2 + 1563921013267*x - 30626104956903,3,True
54,-23/3*theta_K^2 - 12*theta_K - 181/3,-3698/27*theta_K^2 - 1892/9*theta_K - 9718/9,x^3 - x^2 + 4*x - 20,3,1,1,-2420,-121,1,True
55,66548/3*theta_K^2 - 3668*theta_K - 133227,-136757500/27*theta_K^2 + 102503476/27*theta_K + 618850066/27,x^3 - x^2 + 4*x - 20,3,1,1,-2420,-24729001,1,True
56,-1095*theta_K^2 - 2884*theta_K - 604,-78194*theta_K^2 - 205706*theta_K - 43076,x^3 - x^2 - 9*x - 2,3,3,0,2557,x^3 - 81*x^2 - 23026923*x + 10077696000,3,True
57,-744*theta_K^2 + 120*theta_K + 10480,-91648*theta_K^2 + 13824*theta_K + 1294720,x^3 - x^2 - 14*x + 12,3,3,0,2589,x^3 - 35073*x^2 + 171244287*x - 25490055807,3,True
58,-25291699/2*theta_K^2 - 71696197/2*theta_K + 39572027,-53880803938*theta_K^2 - 152740119172*theta_K + 168606797790,x^3 - x^2 - 14*x + 12,3,3,0,2589,x^3 - 23889411*x^2 + 311881861107*x - 727470171379953,3,True
59,-136*theta_K^2 - 352*theta_K + 397,-2776*theta_K^2 - 7680*theta_K + 8526,x^3 - x^2 - 14*x + 12,3,3,0,2589,x^3 - 90503973*x^2 + 415272816587907*x + 1738115514412086753,3,True
60,139723*theta_K^2 + 396058*theta_K - 437324,-87969382*theta_K^2 - 249373764*theta_K + 275278328,x^3 - x^2 - 14*x + 12,3,3,0,2589,x^3 - 570044556708093*x^2 + 4215538251993503547*x - 3435010735369643077887,3,True
61,45568*theta_K^2 - 15376*theta_K - 404944,118605568/3*theta_K^2 - 13347456*theta_K - 1053931264/3,x^3 - 9*x - 3,3,3,0,2673,x^3 + 1998594*x^2 - 5761198791*x - 880595276625,3,True
62,-48*theta_K^2 + 1952*theta_K - 5680,-338816/3*theta_K^2 + 118272*theta_K + 2252288/3,x^3 - 9*x - 3,3,3,0,2673,x^3 + 1998594*x^2 - 5761198791*x - 880595276625,3,True
63,2144/3*theta_K^2 - 432*theta_K - 6880,-23424*theta_K^2 + 10368*theta_K + 1935232/9,x^3 - 9*x - 3,3,3,0,2673,x^3 + 241226154*x^2 - 1203325981769259*x + 57698155528023375,3,True
64,142736/3*theta_K^2 - 16784*theta_K - 424816,35506816/3*theta_K^2 - 3977600*theta_K - 946081280/9,x^3 - 9*x - 3,3,3,0,2673,x^3 + 241226154*x^2 - 1203325981769259*x + 57698155528023375,3,True
65,1936*theta_K^2 + 5696*theta_K + 640,-369664/3*theta_K^2 - 394112*theta_K - 396928/3,x^3 - 9*x - 3,3,3,0,2673,x^3 - 4008869955756*x^2 + 1581148319557356009*x - 1480520800641287109375,3,True
66,14544*theta_K^2 + 19232*theta_K - 61232,-5039488/3*theta_K^2 - 2668544*theta_K + 17437184/3,x^3 - 9*x - 3,3,3,0,2673,x^3 - 4008869955756*x^2 + 1581148319557356009*x - 1480520800641287109375,3,True
67,36704/3*theta_K^2 - 4272*theta_K - 109280,-1543040*theta_K^2 + 1572224/3*theta_K + 123475840/9,x^3 - 9*x - 3,3,3,0,2673,x^3 - 60573171008077866*x^2 + 914078966835160278711*x + 1564246718526463768058625,3,True
68,2293136/3*theta_K^2 - 258704*theta_K - 6794096,2271449728/3*theta_K^2 - 766794880/3*theta_K - 60551879168/9,x^3 - 9*x - 3,3,3,0,2673,x^3 - 60573171008077866*x^2 + 914078966835160278711*x + 1564246718526463768058625,3,True
69,334903562418129933556093351990320*theta_K^2 - 4673783291870772269956295162054352*theta_K + 3922595425489271493283248093916176,52060967596223117885929387066560980321020052966784*theta_K^2 + 123013383364132123140179021549286837916793189149824*theta_K - 152214848075329136400384316032058024455419482019328,x^3 + 7*x - 7,3,1,1,-2695,x^3 - 25617*x^2 + 314881318*x - 2062447296489,3,False
70,-14026933643813709740136175267179178531358308735099848192*theta_K^2 - 12581065361485877135037552724674802045632987021472063440*theta_K - 109472769798328718438554859287323146837570917479714522960,62039123075869247931519295769255091409433516170055929754140191018373103870836442880*theta_K^2 + 55644254275845189660536945591944359805738558624272991489840771297121400663080577408*theta_K + 484182417300456122037789038972507724362199231407140953288076588341994713434037861120,x^3 + 7*x - 7,3,1,1,-2695,x^3 - 4837674221097*x^2 + 15994562007650698*x - 13251633775440955929,3,False
71,133497927410822366861491924116701184*theta_K^2 + 1673639736722132594163044566362488832*theta_K - 5755319320219034182733024623875588096,4953401772220291245922940973795503032213463529160704*theta_K^2 + 2232120338949311587073091302868235645166562742577922048*theta_K - 6053373071739277092132847628727399468951539866876772352,x^3 - 20,3,1,1,-2700,x^3 - 2539776*x^2 + 2730359980032*x - 827280191817515008,3,False
72,21*theta_K^2 + 56/3*theta_K - 264,250/3*theta_K^2 + 1892/27*theta_K - 27886/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 158106*x^2 + 1656319117*x - 4463599344625,3,True
73,723*theta_K^2 + 611*theta_K - 27001/3,449882/27*theta_K^2 + 42526/3*theta_K - 1863428/9,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 158106*x^2 + 1656319117*x - 4463599344625,3,True
74,-256/3*theta_K^2 - 171*theta_K + 596,-24532/27*theta_K^2 - 53162/27*theta_K + 182942/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 21431781678*x^2 + 580411795781784613*x - 7763973988858518138625,3,True
75,-4271*theta_K^2 - 27454/3*theta_K + 31133,-8919440/27*theta_K^2 - 18936254/27*theta_K + 65713760/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 21431781678*x^2 + 580411795781784613*x - 7763973988858518138625,3,True
76,-19456/3*theta_K^2 - 14256*theta_K + 45376,-17698048/27*theta_K^2 - 37916288/27*theta_K + 128926592/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 219359085378*x^2 + 11042873643984399725413*x - 241558328194211971931640625,3,True
77,25936*theta_K^2 + 66176/3*theta_K - 322944,4404096*theta_K^2 + 101211392/27*theta_K - 1477561216/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 219359085378*x^2 + 11042873643984399725413*x - 241558328194211971931640625,3,True
78,-349871*theta_K^2 - 2233774/3*theta_K + 2570493,-6492638528/27*theta_K^2 - 13796482862/27*theta_K + 47785034528/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 19906896909549575818806*x^2 + 5655585992059266071441498017*x - 20070539381980654294764497658625,3,True
79,-20656/3*theta_K^2 - 14651*theta_K + 50516,-17949796/27*theta_K^2 - 38145482/27*theta_K + 132100910/27,x^3 - x^2 - 14*x + 23,3,3,0,2777,x^3 - 19906896909549575818806*x^2 + 5655585992059266071441498017*x - 20070539381980654294764497658625,3,True
80,15616/9*theta_K^2 - 54272/9*theta_K - 17408/9,-47393792/81*theta_K^2 - 92232704/81*theta_K + 1021778944/81,x^3 - 6*x - 31,3,1,1,-2787,x^3 + 5320*x^2 + 121203*x + 2985984,3,False
81,256/9*theta_K^2 - 2816/9*theta_K - 7424/9,123904/81*theta_K^2 - 1805312/81*theta_K + 2747392/81,x^3 - 6*x - 31,3,1,1,-2787,x^3 + 5320*x^2 + 121203*x + 2985984,3,True
82,320/3*theta_K^2 + 128/3*theta_K - 1216/3,-29696/27*theta_K^2 - 32768/27*theta_K + 20480/9,x^3 - x^2 - x + 11,3,1,1,-3020,x^3 - 21829888*x^2 + 59252080640*x - 3123404420939776,3,True
83,-4/3*theta_K^2 - 19/3*theta_K - 22/3,2546/27*theta_K^2 - 2782/27*theta_K - 27542/27,x^3 - 11*x - 9,3,3,0,3137,x^3 - 178206*x^2 + 401297359*x + 3048625,3,True
84,-6005/3*theta_K^2 - 25487/3*theta_K - 24071/3,-5765734/27*theta_K^2 - 24466162/27*theta_K - 23098882/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 19400*x^2 - 967285000*x + 1404551713599,3,True
85,-200439*theta_K^2 - 2551759/3*theta_K - 2409431/3,-5776536550/27*theta_K^2 - 8170674470/9*theta_K - 23142225026/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 19400*x^2 - 967285000*x + 1404551713599,3,True
86,-1447*theta_K^2 + 5521/3*theta_K + 16553/3,-895382/27*theta_K^2 - 106114/27*theta_K + 61098,x^3 - 14*x - 17,3,3,0,3173,x^3 - 2282490052*x^2 + 1010257621971671044*x - 2119883371779836349441,3,True
87,-95525/3*theta_K^2 - 405407/3*theta_K - 382871/3,-373602070/27*theta_K^2 - 1585332994/27*theta_K - 1496737426/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 2282490052*x^2 + 1010257621971671044*x - 2119883371779836349441,3,True
88,-112495648*theta_K^2 + 953531632/3*theta_K + 2030510720/3,38641620349952/27*theta_K^2 - 109180995648512/27*theta_K - 25832722633600/3,x^3 - 14*x - 17,3,3,0,3173,x^3 - 2828399479720274102*x^2 + 275581997837250073102304*x - 5156662188724379247698616321,3,True
89,-513680/3*theta_K^2 - 1515584/3*theta_K - 1116224/3,-3619897856/27*theta_K^2 - 14091749888/27*theta_K - 12703104896/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 2828399479720274102*x^2 + 275581997837250073102304*x - 5156662188724379247698616321,3,True
90,-94805/3*theta_K^2 - 403247/3*theta_K - 382631/3,-378203590/27*theta_K^2 - 1604782354/27*theta_K - 1514952994/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 360842717470615738*x^2 + 479531816622599432970016*x + 19896095905646059535993446401,3,True
91,-3167639*theta_K^2 - 40361839/3*theta_K - 38176631/3,-378895568710/27*theta_K^2 - 535937894534/9*theta_K - 1517996433314/27,x^3 - 14*x - 17,3,3,0,3173,x^3 - 360842717470615738*x^2 + 479531816622599432970016*x + 19896095905646059535993446401,3,True
92,-27136/3*theta_K^2 - 496/3*theta_K + 173872/3,-9953408/27*theta_K^2 + 12979072/27*theta_K + 30581504/27,x^3 - 2*x - 11,3,1,1,-3235,x^3 - 3392*x^2 + 3111075*x - 373248000,3,True
93,-288160/3*theta_K^2 - 229792*theta_K + 84944,1344479104/27*theta_K^2 + 1072152320/9*theta_K - 396327424/9,x^3 - x^2 - 9*x + 3,3,3,0,3252,x^3 + 220528*x^2 + 72997632*x - 3974344704,3,True
94,-16/3*theta_K^2,-5504/27,x^3 - 11,3,1,1,-3267,-121,1,True
95,208/3*theta_K^2 + 880/3*theta_K - 2992/3,-27520/9*theta_K^2 - 170624/9*theta_K + 1546624/27,x^3 - 11,3,1,1,-3267,-121,1,False
96,-131/3*theta_K,9946/27,x^3 - 11,3,1,1,-3267,-24729001,1,True
97,-2227/3*theta_K^2 + 1703/3*theta_K + 7205/3,49730/9*theta_K^2 + 308326/9*theta_K - 2794826/27,x^3 - 11,3,1,1,-3267,-24729001,1,False
98,-296148833645101056,-53720962492138205969645568,x^3 + 6*x - 10,3,1,1,-3564,6912,1,False
99,-236958546538045755275998324064256,1402430499059198640273946836476248598327687380992,x^3 + 6*x - 10,3,1,1,-3564,790272,1,False
100,-296148833645101056,-53720962492138205969645568,x^3 - 12*x - 28,3,1,1,-3564,6912,1,False
101,-236958546538045755275998324064256,1402430499059198640273946836476248598327687380992,x^3 - 12*x - 28,3,1,1,-3564,790272,1,False
102,400*theta_K^2 - 1648*theta_K + 3392/3,-49024/3*theta_K^2 + 202240/3*theta_K - 1272832/27,x^3 - x^2 - 10*x + 9,3,3,0,3569,x^3 - 335480*x^2 + 15987552033*x - 12850722787967,3,True
103,1982523611012300759681182302721033392*theta_K^2 - 5400810116868145744800057050462076912*theta_K + 273549452133686019898096895503052736,-3489831385807615862732135971062069556432313249896750464*theta_K^2 + 17996126495697859949610975245826280025778262234860600192*theta_K - 23169323618910577478737673975273540845973374317398699520,x^3 - x^2 + 9*x - 36,3,1,1,-3571,x^3 + 126651*x^2 + 27951397339*x - 47686032443447,3,False
104,1008990682430991217506860656534709016240*theta_K^2 - 7678559575613823847505686659167816610672*theta_K + 13314669654745627982809051179743391135168,-45347247285692368330459096444853085758602432063934136668544*theta_K^2 - 378585885944405115514712355595048352377092598207347131169408*theta_K + 1335703847084277003197359283818397082411537773127002915424768,x^3 - x^2 + 9*x - 36,3,1,1,-3571,x^3 + 126651*x^2 + 27951397339*x - 47686032443447,3,True
105,-331/9*theta_K^2 - 56552/9*theta_K + 17056,-10237958/81*theta_K^2 + 5064878/81*theta_K + 19863448/27,x^3 - x^2 + 9*x - 36,3,1,1,-3571,x^3 + 282928634294259*x^2 + 4344512217115800595*x + 16778743690526856297433,3,False
106,-88/9*theta_K^2 + 112/9*theta_K - 11,-1016/81*theta_K^2 - 7072/81*theta_K + 12130/27,x^3 - x^2 + 9*x - 36,3,1,1,-3571,x^3 + 282928634294259*x^2 + 4344512217115800595*x + 16778743690526856297433,3,True
107,-262205*theta_K^2 + 1460144*theta_K - 1951302,-378989742*theta_K^2 + 2110487328*theta_K - 2820407972,x^3 - x^2 - 18*x + 34,3,3,0,3592,x^3 + 3716361*x^2 - 2649034368*x - 177125584896,3,True
108,180932787044352*theta_K^2 + 55779193257984*theta_K - 2203598592147456,-703947772968654864384*theta_K^2 - 710089100057565462528*theta_K + 6774984621067654397952,x^3 - x^2 - 9*x + 29,3,1,1,-3724,1792,1,False
109,3451982246805687025114684952593663262611564872580466737152*theta_K^2 + 1064200623961564312594394072976492152234909222203853635584*theta_K - 42042038612462070922394237018436381559418146868335771385856,-310416968445224885008617430187049303713088204690599420645353856680695784437511517896704*theta_K^2 - 313125084317416233222691708700691498176748470765424509597701471288116611711318221651968*theta_K + 2987537240818129145364052344160402688020378924472470253463100481611780366938331951398912,x^3 - x^2 - 9*x + 29,3,1,1,-3724,406749952,1,False
110,-335529715433472*theta_K^2 - 1017290516594688*theta_K - 1081848329404416,-2517258890605051772928*theta_K^2 - 7632067207758486700032*theta_K - 8116371421131844878336,x^3 - x^2 - 9*x - 13,3,1,1,-3724,1792,1,False
111,-6401507653050134075341487466832130369780742243312595894272*theta_K^2 - 19408692368552499000481116695137772437991751444921883557888*theta_K - 20640378606034476638038138247565996642040789834408516386816,-1110025350770168644455640897787293770968684431168373765021540555504484929374098573754368*theta_K^2 - 3365481441345639763586099626793467021537836730406387835215119434873945178480021856059392*theta_K - 3579043088236880520703539393668898710181996440872165485157580740560261359737067972591616,x^3 - x^2 - 9*x - 13,3,1,1,-3724,406749952,1,False
112,128/3*theta_K^2 - 128*theta_K - 432,-5632/27*theta_K^2 + 15872/27*theta_K + 57472/27,x^3 - x^2 - 16*x - 17,3,3,0,3873,x^3 - 53241*x^2 - 143345640*x + 210751100351,3,True
