,A,B,K,d,r,s,D,j,j_deg,gmm
0,640/3*theta_K - 1600/3,7168/3*theta_K - 157696/27,x^2 - 6,2,2,0,24,8000,1,True
1,-640/3*theta_K - 1600/3,-7168/3*theta_K - 157696/27,x^2 - 6,2,2,0,24,8000,1,True
2,-50560/3*theta_K - 124480/3,-1870848*theta_K - 123762688/27,x^2 - 6,2,2,0,24,x^2 - 377674768000*x + 232381513792000000,2,True
3,12160/3*theta_K - 32320/3,-695296/3*theta_K + 15583232/27,x^2 - 6,2,2,0,24,x^2 - 377674768000*x + 232381513792000000,2,True
4,-12160/3*theta_K - 32320/3,695296/3*theta_K + 15583232/27,x^2 - 6,2,2,0,24,x^2 - 377674768000*x + 232381513792000000,2,True
5,50560/3*theta_K - 124480/3,1870848*theta_K - 123762688/27,x^2 - 6,2,2,0,24,x^2 - 377674768000*x + 232381513792000000,2,True
6,3840*theta_K - 10160,259072*theta_K - 685440,x^2 - 7,2,2,0,28,-3375,1,True
7,3840*theta_K - 10160,-259072*theta_K + 685440,x^2 - 7,2,2,0,28,-3375,1,True
8,65280*theta_K - 172720,14767104*theta_K - 39070080,x^2 - 7,2,2,0,28,16581375,1,True
9,65280*theta_K - 172720,-14767104*theta_K + 39070080,x^2 - 7,2,2,0,28,16581375,1,True
10,-4320*theta_K - 11435,201952*theta_K + 534310,x^2 - 7,2,2,0,28,x^2 - 274917323970000*x + 1337635747140890625,2,True
11,-4320*theta_K - 11435,-201952*theta_K - 534310,x^2 - 7,2,2,0,28,x^2 - 274917323970000*x + 1337635747140890625,2,True
12,4320*theta_K - 11435,-201952*theta_K + 534310,x^2 - 7,2,2,0,28,x^2 - 274917323970000*x + 1337635747140890625,2,True
13,4320*theta_K - 11435,201952*theta_K - 534310,x^2 - 7,2,2,0,28,x^2 - 274917323970000*x + 1337635747140890625,2,True
14,80*theta_K - 752/3,17920/27*theta_K - 56192/27,x^2 - x - 7,2,2,0,29,x^2 + 18891*x - 357911,2,True
15,-80*theta_K - 512/3,-17920/27*theta_K - 38272/27,x^2 - x - 7,2,2,0,29,x^2 + 18891*x - 357911,2,True
16,-5760*theta_K - 38032/3,-3745280*theta_K - 221723008/27,x^2 - x - 7,2,2,0,29,x^2 + 7580312864451*x + 144612187806169,2,True
17,-6480*theta_K - 42752/3,-12597760/27*theta_K - 27649408/27,x^2 - x - 7,2,2,0,29,x^2 + 7580312864451*x + 144612187806169,2,True
18,-180480*theta_K - 1284448/3,72573760*theta_K + 4648465136/27,x^2 - x - 8,2,2,0,33,-32768,1,True
19,-256/3*theta_K - 608/3,-2240/3*theta_K - 47824/27,x^2 - x - 8,2,2,0,33,-32768,1,True
20,18944/3*theta_K + 44032/3,-544768/3*theta_K - 11576320/27,x^2 - x - 8,2,2,0,33,x^2 + 37616060956672*x - 56171326053810176,2,True
21,13237760*theta_K + 94211072/3,52847398912/3*theta_K + 1128320076800/27,x^2 - x - 8,2,2,0,33,x^2 + 37616060956672*x - 56171326053810176,2,True
22,-288*theta_K + 608/3,-2128*theta_K - 27664/27,x^2 - x - 8,2,2,0,33,x^2 + 37616060956672*x - 56171326053810176,2,True
